,Mean Variance,PSD Delta,PSD Theta,PSD Alpha,PSD Beta,PSD Gamma,Label
0,1.0636230547786065e-09,6803.705628366444,1088.5365397903013,276.51678501610377,37.11480167706434,36.482135740801155,1
1,1.3111054806748114e-09,5486.911334045339,2131.881992377808,139.81180665139223,149.4769631066093,334.94579833810445,1
2,2.0291571164831792e-09,12903.033642615947,1996.0417075448984,136.94063022468922,133.46311482095143,227.64365521551983,1
3,3.7020443328586496e-09,10878.246632912538,957.5576701313736,108.99328497572078,64.01065512140178,79.69169677167379,1
4,1.0636230547786065e-09,406.5545412763673,142.04181145196188,196.9925307292117,26.481469235547205,2.3258511767819168,0
5,1.3111054806748114e-09,502.7418144576368,175.92310506317426,200.1710995116,41.20698739209435,2.2556197419561146,0
6,2.0291571164831792e-09,1080.3025020322002,281.7256273422008,182.0580256981924,18.948618649282814,2.7505934552968285,0
7,3.7020443328586496e-09,1830.61799703014,799.4151943520653,108.82796136848692,25.006516385635837,17.726764895408508,0
8,9.250356882658273e-10,385.7849815206874,280.56703327785783,22.512748699425888,8.608672567929329,2.952015658397292,0
9,8.16579055309939e-10,352.7265418618544,189.63751782399703,41.636437710075114,13.480354043482318,2.8457614292354068,0
10,7.28608433528144e-10,320.34973214875794,156.25946691390004,40.721075150013384,13.46529067902882,2.6257786542738977,0
11,7.928436758693345e-10,356.8943801706237,125.80836772083966,70.3517602212941,16.747697298257965,2.4516203342567184,0
12,5.684554082663823e-10,250.43159186664917,93.39795519837915,36.10295693226335,15.390316594730727,2.6763566104131944,0
13,4.759504606016839e-10,213.55146387616242,79.45056502189243,19.13358306320261,13.18060907497346,2.3717633217586402,0
14,7.209431816607676e-10,287.0979906633972,134.7400145669393,59.54318435828414,20.572664867854137,2.294172022342036,0
15,5.204687688024934e-10,187.81843361305283,65.88322942090852,75.50810118882652,16.960228063120034,2.619227283324674,0
16,8.595340319303995e-10,381.27203929603394,74.11710851999207,144.2859637926676,18.24128559564642,2.4695243876059543,0
17,2.051516620852718e-09,959.0565520462692,312.1951222736978,145.640836569907,52.38133548131448,2.3652170186900743,0
18,1.2746499372308105e-09,548.1781626148899,197.1266500037218,126.26488551750721,35.8305919037801,2.380725217330126,0
19,1.933761178717003e-09,1002.5276278017133,212.7621118679536,167.73403662275197,37.58930861240007,2.43941262454991,0
20,9.836768156297802e-10,444.59426225867287,149.81071382674241,88.40886008039038,20.99037593380458,2.480903515935184,0
21,1.2875063838444001e-09,626.0840746663898,157.1380544902523,114.0775968316157,28.97661711301843,3.00321248308536,0
22,9.234287783879988e-10,325.5856948229205,109.91155092124941,195.13353244783082,24.85875841671042,2.6022607751343867,0
23,1.3969856736144001e-09,627.2465663584561,176.20428863363853,217.4429365007932,23.86938409390203,2.476627476549756,0
24,1.134237083913986e-09,532.7272700341083,140.68124141898795,94.23756644336643,30.95048406292625,2.451388177640321,0
25,9.280465421341405e-10,371.52478620912285,97.4542042169852,176.8350341027584,22.72907309452506,2.5285034027585294,0
26,8.089377068584856e-10,317.6068659984132,143.02289569027926,73.93159218317275,22.988349641354194,2.668567330650156,0
27,9.711647471545697e-10,363.1855257264466,100.22154544122871,186.67918350352852,29.356668950101305,2.6466228187302887,0
28,7.790998400704875e-10,394.7363426215633,82.24897402841016,57.63501426378966,18.947029497953164,2.4875824041579864,0
29,1.1009026284720828e-09,504.26141459165945,100.28884953601828,160.10835071716616,24.82302223895914,2.537975103935412,0
30,1.1907270018719076e-09,456.64457854749367,139.53713484828916,260.01742720894504,21.24044475966298,2.5059962865260412,0
31,2.653852159093833e-09,1485.5429437781304,225.19852941424807,216.928100937369,46.796384173324526,2.662399991798253,0
32,1.6663214608536361e-09,630.8911577054101,235.4351305178216,215.10261526909343,56.35140605712868,2.2937823942908446,0
33,1.891850544113796e-09,961.457405716228,259.3433201430218,176.80730125578316,25.43230953063896,2.3529232677062337,0
34,1.7267567349536896e-09,832.1332658514743,212.6883849247306,243.70339201859298,22.681471438042088,2.4965662254975345,0
35,1.1208020498320506e-09,461.6070439151807,112.92417436230131,206.5550969658176,25.858483293036148,2.281709857417768,0
36,1.4651544841535393e-09,596.5642858642176,193.26442990957958,231.0639877724081,34.60380999045158,2.4528186422139377,0
37,1.8379122514856271e-09,872.2879875858888,189.92476934859297,276.1115849656619,33.094988834803395,2.623069341188179,0
38,3.1204049756312253e-09,1745.1932536191955,361.895012506384,242.2488235331012,32.08026905866012,2.4806083665274703,0
39,1.5922645044482736e-09,786.0602942053598,207.3508737277509,178.56210324086143,22.778143894891024,2.3113634529470146,0
40,7.886315240846771e-10,345.1061934934576,100.50986823389229,104.59364721093408,16.244943471149984,2.328062280566777,0
41,1.4313695538654035e-09,611.1177020247097,186.25667410757092,164.81747386023318,40.972495316645045,2.347280587510625,0
42,1.5638155711929553e-09,718.5691533502434,192.84255157424454,157.60039320954388,39.830324579955466,2.5756955085005333,0
43,1.6377825058380527e-09,806.3488565377568,227.2552462583429,181.95043812077748,22.562860398425485,2.330947152462124,0
44,1.4073165191173733e-09,580.1904033223695,202.802922679033,236.7439963558285,25.337090068081174,2.419632354496413,0
45,1.7804766195092566e-09,913.9572311669149,187.41352668495742,200.29581390460152,27.28146341704134,2.5018280623208287,0
46,2.1948333576100213e-09,1144.4735881156305,227.2443783890086,282.73993373332763,23.605893385875405,2.210219850118902,0
47,2.693610115153563e-09,1484.7142622999247,278.3987998972006,257.9296535679482,35.0598597120586,2.483489022411586,0
48,2.735383387480479e-09,1584.0995426524253,301.09561096058115,229.78456434537625,21.284709409234523,2.423732044391917,0
49,1.7837367711124007e-09,1006.657917653622,184.785219754212,135.63015352536064,21.701158327078943,2.469593732800726,0
50,1.636108998336713e-09,897.9483489269313,173.37099051320482,149.7660625589561,18.432844998129454,2.613630273103578,0
51,1.8331975440682608e-09,939.2040174302216,225.73448974520352,196.6302372440065,24.67470604441894,2.5411530820561743,0
52,1.7679579486062895e-09,1019.8500126031357,217.315007164818,104.02502209105393,16.168358538539632,2.457014304172449,0
53,1.472427655891185e-09,665.4671442125014,198.1432395703717,232.0096615498986,22.99178907956233,2.355314416497256,0
0,1.0086945400176387e-09,11679.672319985571,1696.6707224958366,166.482706492946,71.13595169550611,82.43911722979209,1
1,7.523852655711818e-10,9719.212703581992,1603.5824309009092,164.14950624410542,90.44773132604635,133.85653798396092,1
2,9.168531858776828e-10,12877.687170342751,836.9927186872978,103.43282620719069,77.21555876313445,106.3819639931859,1
3,1.0086945400176387e-09,431.75864379828585,108.60610155199005,14.364393967410637,6.524588899706832,2.4926320867291127,0
4,7.523852655711818e-10,344.2978859391044,81.46625705819038,38.349049079472884,12.843802973003099,2.4542170442942064,0
5,9.168531858776828e-10,734.0560043177272,116.27172512996368,35.58519886624316,13.866563133169803,2.410483059314072,0
6,7.48640327603801e-10,467.9757410366988,110.95901857417758,34.87701347088069,15.532875155247725,2.5840137036030617,0
7,1.322952249859052e-09,1377.1799416648053,227.75725455897026,112.09678124269541,30.216933302159106,2.323212901046936,0
8,8.042453800492102e-10,869.5559054164058,164.36827723051826,89.8391268071515,26.75476712458289,2.3496554484116805,0
9,6.172562782507161e-10,521.0912891234678,167.4445224195308,89.61722406809028,27.78190962313521,2.3824985253969047,0
10,6.359333702689937e-10,637.3558914908023,249.53122470673412,104.68653367353905,30.44735496494193,2.340394428776376,0
11,1.0470659086555846e-09,488.42160882602144,153.05202133010525,51.484633305373,11.71743203012274,2.3811696985873776,0
12,6.543361925702048e-10,568.7828826471697,157.34391442965443,115.28333999633313,21.456452681377844,2.4751485767924746,0
13,7.307586744912378e-10,565.002164786134,198.4909096881976,70.50781682264402,22.15386461879176,2.356756098505412,0
14,6.07829211029369e-10,701.2747348964383,156.6461562251424,68.13355129554614,19.02722438451011,2.3624787048068296,0
15,7.96131952508203e-10,293.5404373214043,78.68886454514401,72.19033122720386,25.521381488657827,2.4608107840685447,0
16,6.061692638217075e-10,431.7821290724816,88.19573464837282,161.1865897201729,30.214973342028014,2.5234777850791863,0
17,7.053344492921728e-10,581.616720628156,159.06957663228783,198.12415767150642,36.336079125524456,2.3973413978098974,0
18,9.002315717435438e-10,895.6515274737117,171.87637752149956,105.48932956762998,13.2451207638966,2.474906156211212,0
19,6.165735492969917e-10,400.23128119174913,88.84011929841711,90.000951364745,19.32856049854046,2.321759818145895,0
20,5.130743096157755e-10,641.8400773743368,150.08877833529053,148.7508949099458,25.09120915347885,2.4871704002931616,0
21,7.300557426215323e-10,399.1417078256968,121.93955281944416,157.2143640443357,20.85529018384466,2.497472936516637,0
22,7.854087163645418e-10,654.7622504510817,168.87254974347874,135.6823189565652,28.693031035867214,2.3085195942710866,0
23,7.46108301817513e-10,847.7024423262358,162.66220485622904,69.78892410940163,33.634772959106215,2.4118954858174666,0
24,1.4688773856803753e-09,1182.0337793783235,168.73963673260403,103.65060520857288,37.65564722164997,2.5779821864981103,0
25,8.008044109833827e-10,628.7784228729903,151.37113712826968,66.42904894912981,21.25628494938465,2.400918110138995,0
26,7.513441506992612e-10,497.610236754576,144.34922811533173,73.68401774223055,15.659847880014965,2.3501296935918417,0
27,5.879139759883422e-10,293.8213973981739,92.50562629767431,43.94677089958347,20.506918243689594,2.400927717626635,0
28,1.2074701134117615e-09,467.977154574072,114.14089778954441,61.399558895224374,25.95315134737341,2.591404172393396,0
29,1.438034468798157e-09,936.1859446570596,247.01739789357018,63.96996042093264,13.930070005522039,2.2745324688428834,0
30,6.868573619723846e-10,584.821998310618,164.8406533245038,107.79590960051729,19.89747253787498,2.2053935041520103,0
31,5.449991380343868e-09,505.58919131443855,86.86384024384813,30.15121195555417,17.433186641800287,2.3174845832192874,0
32,1.3064260109661482e-09,381.8234773440241,102.16468062845087,125.44692611401588,23.388561988838863,2.2407798211057246,0
33,6.004097619664156e-10,393.46897992588686,97.45628644081457,89.69743583045198,24.61957407780219,2.1546637540849733,0
34,1.183997167342083e-09,588.1030115771085,106.05022206696144,149.31917245457137,33.86871615971518,2.3979189844354045,0
35,5.954616030492477e-10,437.3664021111319,161.098188395672,75.7455995278303,30.173226749890627,2.3041382724220174,0
36,2.279103114981065e-09,198.0243352871083,55.299067055789756,58.54598753163779,20.267400590058998,2.3157527928931656,0
37,1.49056638997301e-09,631.8735676102223,163.92027053745502,163.96697993824782,29.404512994234327,2.306725488935713,0
38,5.583202293000352e-10,1291.069568451012,369.8693281317948,186.23065444896199,23.51506989135705,2.3873714505990287,0
39,5.852801875950713e-10,293.9345707545983,79.56776370613063,112.54646373525776,10.8234810210007,2.1820765351548843,0
40,7.615698166429635e-10,471.45988458211474,136.71276677960228,64.01406688645027,26.635081702678427,2.4091807074085576,0
41,6.886668899011402e-10,378.73864143918786,131.20868501584124,130.42620268808406,32.93434278014809,2.6112408652166472,0
42,1.7776999432128176e-09,397.6005859536713,139.23563279359809,77.70277907965101,32.171672019711586,2.3383255996613967,0
43,1.084075759597432e-09,590.5945007474468,146.27486934223356,125.61409586390184,22.08564457667852,2.4323030715726666,0
44,2.042843910952908e-09,517.1736255096013,157.10956501583325,87.9066445959272,27.757083155722427,2.5463270807230094,0
45,7.603944156222387e-10,455.1908736752231,117.85058098611704,112.1599710528915,22.097342488834748,2.503789938325076,0
